,outputs,gt,train_loss,error,outputs_b,gt,train_loss,error
63,1259.906898,1236.45,2447.13623,-0.018617961,715.4738464,702.28,427.03302,-0.018440711
64,1250.522308,1213.6,2120.699707,-0.029525509,720.4843857,706.46,399.0783386,-0.019465218
65,1237.616157,1226.95,1700.179932,-0.008618308,709.2575364,710.91,352.3084106,0.00232985
66,1212.540714,1229.2,552.7056885,0.013739156,707.7307388,711.73,141.3999634,0.005650823
67,1229.097939,1226.75,474.4017639,-0.001910294,707.4949007,736.96,88.8584137,0.041647084
68,1226.157783,1211,327.0838013,-0.012362017,714.2433783,747.52,839.8681641,0.046590032
69,1209.672766,1211,359.0159912,0.001097184,723.3369049,748.98,1565.01709,0.035451108
70,1193.586143,1211,431.6951599,0.014589527,726.2840128,729.06,1652.341553,0.003822179
71,1218.970443,1214.25,632.5020142,-0.003872484,731.8939471,738.53,1146.525879,0.00906696
72,1214.694475,1212.25,225.9081726,-0.00201242,764.3637584,736.97,381.0679016,-0.035838641
73,1205.720974,1185.35,21.93402863,-0.016895264,748.4510547,741.63,494.9754944,-0.009113561
74,1207.172813,1186.1,657.7183228,-0.017456335,739.9679615,737.45,267.6272888,-0.003402798
75,1201.514258,1187.7,1016.010925,-0.011497373,737.1935972,735.64,100.9858551,-0.002107448
76,1194.34658,1187.7,1021.512817,-0.005565035,737.9766745,733.67,24.76594353,-0.005835787
77,1180.806988,1187.7,610.5128174,0.005837543,737.0705173,727.96,40.66864777,-0.012360442
78,1188.184962,1187,35.47153091,-0.000997287,735.1911941,727.31,117.2575302,-0.010719925
79,1187.803039,1186.55,10.02989388,-0.001054922,725.7969806,732.71,102.4412003,0.009524729
80,1187.585408,1178.1,3.397509098,-0.007987138,731.0304508,742.69,76.80374908,0.015949471
81,1183.773366,1161.85,79.43697357,-0.018519901,732.7853289,742.05,190.9148865,0.01264309
82,1158.115935,1173.5,570.2296143,0.0132837,734.8633426,772.43,273.4559937,0.051120603
83,1176.426468,1173.5,660.3235474,-0.002487591,739.0084086,764.33,1440.380615,0.034264281
84,1174.798384,1173.5,388.9830017,-0.001105197,748.6163498,762.97,1392.33374,0.019173573
85,1172.917571,1162.2,185.6313782,-0.009137531,763.4992205,754.63,949.7353516,-0.011616542
86,1169.978906,1172.5,202.7817993,0.00215482,759.3994934,756.62,644.5640869,-0.00366012
87,1170.134233,1177.65,114.1330719,0.006422996,789.6533437,758.99,282.7522583,-0.038831399
88,1171.022759,1171.05,160.3411865,2.32626E-05,761.0740322,769.72,402.7677917,0.011360219
89,1163.835929,1163.6,152.6493835,-0.000202717,760.3287299,770.02,176.7276001,0.012746158
90,1165.307779,1163.6,219.5668945,-0.001465518,762.2930903,769.08,264.8045654,0.008903281
91,1169.176775,1163.6,194.5587616,-0.00476983,765.4614996,777,212.7636719,0.015073913
92,1171.227187,1156.1,195.8278046,-0.012915673,761.5766057,777,197.9093323,0.020251928
93,1163.7485,1158.55,154.2721405,-0.00446703,777.5571854,777.99,141.3385315,0.000556634
94,1160.914862,1162.25,71.70437622,0.001150074,775.0775682,774.89,94.66381073,-0.000241999
95,1160.319622,1126.95,60.54453659,-0.028758991,775.8009931,776.75,66.50996399,0.001223261
96,1154.106733,1131.6,1088.519409,-0.019501431,783.4943526,775.88,11.49457836,-0.009718452
97,1140.545345,1131.6,1374.897217,-0.007843042,776.0983822,788.7,22.47165489,0.01623714
98,1133.630709,1131.6,1396.148071,-0.001791332,779.7058402,788.4,159.2598419,0.011150564
99,1135.437987,1136.25,987.4000854,0.000715154,781.6337949,788.67,248.452179,0.00900192
100,1131.59525,1125.7,126.6374969,-0.005209681,784.9045846,793.09,235.395752,0.010428548
101,1130.438622,1133.65,69.0641098,0.002840825,787.9912782,824.21,205.0624237,0.045963354
102,1131.546753,1131.35,72.27422333,-0.00017388,807.6739806,834.97,1220.053955,0.033795838
103,1131.451222,1131.35,69.22205353,-8.94621E-05,807.2412049,901.31,2471.652344,0.116531211
104,1107.901209,1131.35,68.55239105,0.021165056,827.395317,891.61,9822.445313,0.077610644
105,1131.698895,1131.35,237.5385437,-0.000308293,855.0895154,892.6,9893.220703,0.043867319
106,1131.812675,1131.35,8.242977142,-0.000408791,904.4361591,897.33,6056.49707,-0.007857005
107,1131.302361,1131.35,0.213510469,4.21099E-05,893.6345032,930.37,3490.331299,0.041107966
108,1131.353629,1134.6,0.004556,0.002869457,970.5301655,930.34,1268.406738,-0.041410527
109,1129.611317,1145.9,10.64544964,0.014419724,908.0390332,963.38,3295.189941,0.060945581
110,1135.443354,1145.9,210.9044647,0.009209307,923.4264859,952.15,3805.021484,0.031105361
111,1136.659167,1145.9,301.1740112,0.008129819,935.8671651,958.12,2932.280273,0.023777771
112,1142.127097,1145.9,283.7148743,0.0033034,976.7630127,997.72,1187.316284,0.02145555
113,1147.298513,1145.9,137.5445862,-0.001218962,959.9822976,1015.97,2694.378174,0.058321599
114,1156.036707,1151,6.885303497,-0.004356875,1010.977381,1013.42,3682.495605,0.002416096
115,1146.743541,1164.25,49.20219421,0.015266237,988.5112837,1126.76,4472.234375,0.139855476
