,outputs,gt
56,"[1314.8520450480864, 1314.9678406119347, 1297.1997061371803, 1294.6634216606617, 1291.243890374899]",1302.8
57,"[1316.0871690511703, 1297.5856117904186, 1294.9226607382298, 1291.2157595157623, 1286.1494850367308]",1283.05
58,"[1297.3397387564182, 1294.5695485174656, 1290.684847831726, 1285.2166595309973, 1273.9684462231817]",1282.35
59,"[1294.3061131238937, 1290.2641282975674, 1284.5368563383818, 1272.724446218519, 1265.8260701627005]",1281.4
60,"[1289.7493802011013, 1283.7906891852617, 1271.4816886608023, 1264.1246943760489, 1257.208535798316]",1267.5
61,"[1283.0086202174425, 1270.1963772951858, 1262.5124641577713, 1255.0575495230878, 1245.430216403358]",1236.45
62,"[1268.834344830655, 1260.8415283212962, 1253.0438536353904, 1242.7957629602752, 1222.6215938429668]",1236.45
63,"[1259.9068976061826, 1251.7942626194708, 1241.0878643271571, 1219.9729329810507, 1234.875738934512]",1236.45
64,"[1250.5223075585236, 1239.3784126353567, 1217.4102308535803, 1232.9567865596327, 1230.7644095071737]",1213.6
65,"[1237.616156948352, 1214.7673821480857, 1230.958037073331, 1228.6343967636494, 1214.9450209736824]",1226.95
66,"[1212.5407144326746, 1229.4116240864532, 1226.9875474099535, 1212.779185473919, 1199.4556120372]",1229.2
67,"[1229.0979388898268, 1226.573581938428, 1211.7910060286522, 1197.6556081743765, 1220.5104394024966]",1226.75
68,"[1226.1577834094642, 1210.7621812820435, 1196.035870011212, 1219.7610765103746, 1216.587191546554]",1211.0
69,"[1209.672766327858, 1194.377956201104, 1219.0478257167124, 1215.6357482993772, 1208.4310841227416]",1211.0
70,"[1193.5861431687517, 1219.273194690366, 1215.70384539933, 1208.1815400366613, 1209.6231223730429]",1211.0
71,"[1218.9704426485841, 1215.2601824753947, 1207.4368641438487, 1208.9256298012624, 1204.3075988882483]",1214.25
72,"[1214.694475398297, 1206.5579648905841, 1208.1044641768385, 1203.228829914835, 1197.6306920051575]",1212.25
73,"[1205.7209738044476, 1207.3310680016584, 1202.249849269443, 1196.2477003633976, 1185.667543977499]",1185.35
74,"[1207.1728133845318, 1201.8865963103162, 1195.6147736608982, 1184.3194883465767, 1191.6288506537676]",1186.1
75,"[1201.51425836391, 1194.994716078043, 1183.209835767746, 1190.908141002059, 1190.4343022704124]",1187.7
76,"[1194.3465804159641, 1182.1051046848297, 1190.126491650939, 1189.691156387329, 1189.4153354912996]",1187.7
77,"[1180.8069877624512, 1189.1507327109575, 1188.707146704197, 1188.4479720443487, 1185.2199259847403]",1187.7
78,"[1188.1849615126848, 1187.720242023468, 1187.4551326185465, 1184.0782854408026, 1162.5895917725284]",1187.0
79,"[1187.8030389547348, 1187.5260600596666, 1184.0100760310888, 1161.3701213097956, 1178.1100541421474]",1186.55
80,"[1187.5854075103998, 1183.926114872098, 1160.3463211337803, 1177.6823262577964, 1176.7672632599279]",1178.1
81,"[1183.7733662575483, 1159.2606483707204, 1177.272013312133, 1176.2116842403339, 1175.0451665180008]",1161.85
82,"[1158.1159347179637, 1176.8602845177957, 1175.7413393109018, 1174.4987905147864, 1172.054823326529]",1173.5
83,"[1176.4264684841473, 1175.2683042689896, 1173.9723779778724, 1171.554179235478, 1171.4206221699715]",1173.5
84,"[1174.7983840941597, 1173.4524783448578, 1170.958248528681, 1170.801553428173, 1171.6854421995522]",1173.5
85,"[1172.917570715901, 1170.316302739986, 1170.1512128710747, 1171.0575554671232, 1165.0951186669772]",1162.2
86,"[1169.9789060010226, 1169.808071911335, 1170.748350601818, 1164.4558336880073, 1165.9977265000343]",1172.5
